s2uid,label,iso3,anchor_lat,anchor_lon,sublabel
579798bd,"ATKA,USA",USA,52.231942,-174.172997,ATKA PRIDE SEAFOODS INC
56ff0815,"FALSEPOINT,USA",USA,54.865965,-163.408386,BERING SEA PACIFIC SEAFOODS
56c67ca5,"KENAI,USA",USA,60.548381,-151.22669,PACIFIC STAR SEAFOODS
56c67caf,"KENAI,USA",USA,60.544077,-151.22304,COPPER RIVER SEAFOODS
56c67cc7,"KENAI,USA",USA,60.532017,-151.252875,INLET FISH PRODUCERS
5405da7f,"KAKE,USA",USA,56.963763,-133.927006,FREDERICK SOUND SEAFOOD COMPANY
540e0d4b,"HYDABURG,USA",USA,55.201691,-132.82639,HAIDA WILD ALASKA SEAFOODS LLC
8085dbeb,"POINT REYES,USA",USA,37.99759222,-122.970371,
8085dbe9,"POINT REYES,USA",USA,37.99712449,-122.9736984,
8085dbc3,"POINT REYES,USA",USA,38.0001593,-122.9748062,
91406f7b,"LA PLANCHADA,PER",PER,-16.405199,-73.219152,CFG LA PLANCHADA
656462c7,"TARAWA,KIR",KIR,1.366718669,172.9329307,BETIO ISLAND
656462c5,"TARAWA,KIR",KIR,1.367526095,172.9358519,BETIO ISLAND
656462c1,"TARAWA,KIR",KIR,1.372031365,172.9321899,BETIO ISLAND
656462c3,"TARAWA,KIR",KIR,1.371525283,172.9365435,BETIO ISLAND
656462d9,"TARAWA,KIR",KIR,1.369378078,172.9466823,BETIO ISLAND
656462df,"TARAWA,KIR",KIR,1.372961202,172.9466547,BETIO ISLAND
656462dd,"TARAWA,KIR",KIR,1.373558797,172.9435006,BETIO ISLAND
656462e7,"TARAWA,KIR",KIR,1.377933913,172.9417182,BETIO ISLAND
656462ef,"TARAWA,KIR",KIR,1.381736506,172.9384758,BETIO ISLAND
656462e5,"TARAWA,KIR",KIR,1.382497269,172.941759,BETIO ISLAND
6564631f,"TARAWA,KIR",KIR,1.378263529,172.9530286,BETIO ISLAND
6564631d,"TARAWA,KIR",KIR,1.382438855,172.9523575,BETIO ISLAND
656462e3,"TARAWA,KIR",KIR,1.383315376,172.9470685,BETIO ISLAND
656462fb,"TARAWA,KIR",KIR,1.386625783,172.9433192,BETIO ISLAND
656462fd,"TARAWA,KIR",KIR,1.38695284,172.9474468,BETIO ISLAND
6564631b,"TARAWA,KIR",KIR,1.382843831,172.9567064,BETIO ISLAND
65646303,"TARAWA,KIR",KIR,1.38713383,172.9525414,BETIO ISLAND
65646301,"TARAWA,KIR",KIR,1.390237672,172.9526116,BETIO ISLAND
656462ff,"TARAWA,KIR",KIR,1.391028968,172.9474198,BETIO ISLAND
9052aa39,"CHICAMA,PER",PER,-7.684937996,-79.44971751,
9052aa47,"CHICAMA,PER",PER,-7.684992544,-79.44613447,
9052aa49,"CHICAMA,PER",PER,-7.68925047,-79.44658029,
9052aa37,"CHICAMA,PER",PER,-7.688935997,-79.44884867,
5fb1233f,"VOSTOCHNYY,RUS",RUS,42.71652116,133.009825,
5fb13d63,"VOSTOCHNYY,RUS",RUS,42.77281146,133.018659,
5fb13d5f,"VOSTOCHNYY,RUS",RUS,42.76813243,133.0295337,
5fb13d61,"VOSTOCHNYY,RUS",RUS,42.77041546,133.0227816,
5fb117d7,"VOSTOCHNYY,RUS",RUS,42.77834708,133.0165775,
91ab83d1,"CHIMBOTE,PER",PER,-9.106810284,-78.6027839,
91ab819f,"CHIMBOTE,PER",PER,-9.078642497,-78.61399418,
91ab8175,"CHIMBOTE,PER",PER,-9.07763585,-78.6113687,
91ab83db,"CHIMBOTE,PER",PER,-9.106546264,-78.59792945,
91ab8475,"CHIMBOTE,PER",PER,-9.123269071,-78.56373473,
91ab8385,"CHIMBOTE,PER",PER,-9.132292322,-78.57307307,
91ab8387,"CHIMBOTE,PER",PER,-9.132431206,-78.56870435,
91ab8477,"CHIMBOTE,PER",PER,-9.128377143,-78.56506441,
91ab8479,"CHIMBOTE,PER",PER,-9.131929325,-78.564792,
91ab8381,"CHIMBOTE,PER",PER,-9.137199068,-78.5686413,
91ab8471,"CHIMBOTE,PER",PER,-9.124771809,-78.55837744,
91ab8473,"CHIMBOTE,PER",PER,-9.123877357,-78.55800951,
5fb3f271,"VLADIVOSTOK,RUS",RUS,43.05181324,132.0198476,
5fb3ed81,"VLADIVOSTOK,RUS",RUS,43.06328775,132.0195414,
9105ccbb,"CALLAO,PER",PER,-12.03339357,-77.18102231,
9105cced,"CALLAO,PER",PER,-12.02271889,-77.16376163,
9105ccd9,"CALLAO,PER",PER,-12.00496011,-77.18104684,
9105cce9,"CALLAO,PER",PER,-12.01718094,-77.16894773,
9105cb6f,"CALLAO,PER",PER,-12.06191187,-77.16323507,
9105ccd3,"CALLAO,PER",PER,-12.01207483,-77.19165635,
9105cc81,"CALLAO,PER",PER,-12.04305586,-77.15071958,
9105cb7f,"CALLAO,PER",PER,-12.05090301,-77.15109351,
9105cc93,"CALLAO,PER",PER,-12.02631365,-77.16349018,
9105cc7d,"CALLAO,PER",PER,-12.03974438,-77.14406053,
9105ccbf,"CALLAO,PER",PER,-12.02716665,-77.17399142,
9105cc95,"CALLAO,PER",PER,-12.02664617,-77.16933932,
9105cc99,"CALLAO,PER",PER,-12.03976175,-77.16791311,
9105cc7b,"CALLAO,PER",PER,-12.03990841,-77.14119786,
9105cceb,"CALLAO,PER",PER,-12.02284718,-77.16938981,
9105cb83,"CALLAO,PER",PER,-12.053059,-77.14618065,
9105cb81,"CALLAO,PER",PER,-12.04931066,-77.14534679,
9105cc7f,"CALLAO,PER",PER,-12.04415074,-77.14507938,
9105cc9d,"CALLAO,PER",PER,-12.04319958,-77.16372587,
9105cc9f,"CALLAO,PER",PER,-12.0427155,-77.16708446,
9105cc79,"CALLAO,PER",PER,-12.04208175,-77.14166206,
9105cb79,"CALLAO,PER",PER,-12.05328917,-77.14954448,
45c4c381,"TROMSO,NOR",NOR,69.69474092,19.01806094,SKATTORA MARINA AS
911064b9,"PISCO,PER",PER,-13.78395903,-76.25481144,
911064bd,"PISCO,PER",PER,-13.78740643,-76.25175017,
911064a3,"PISCO,PER",PER,-13.79238058,-76.2522605,
91107b17,"PISCO,PER",PER,-13.77353993,-76.29629309,
911064bf,"PISCO,PER",PER,-13.78322312,-76.25205593,
911064bb,"PISCO,PER",PER,-13.7886797,-76.25510504,
911064a5,"PISCO,PER",PER,-13.79216604,-76.25501451,
4616c5f3,"ALESUND,NOR",NOR,62.48572294,6.394081637,
4616c58d,"ALESUND,NOR",NOR,62.48560307,6.386965768,
4616c50f,"ALESUND,NOR",NOR,62.45996415,6.332876534,
4616c55b,"ALESUND,NOR",NOR,62.49002841,6.304151266,
4616c55d,"ALESUND,NOR",NOR,62.49012074,6.305548523,
4616c575,"ALESUND,NOR",NOR,62.47464217,6.342806895,
4616c55f,"ALESUND,NOR",NOR,62.49091002,6.306980316,
4616c59f,"ALESUND,NOR",NOR,62.47471496,6.35759773,
913fecff,"913fecff,PER",PER,-16.22843118,-73.70412653,
913fecfd,"913fecfd,PER",PER,-16.23024613,-73.70374649,